U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P21328439600019800000000000019000000038089999ACTIOIL- 01LT                                     LT    ATN180000000000000100
P21328439600019800000000000020000000034029029ADESIL 01LT                                       LT    ATN180000000000001000
P21328439600019800000000000021000000034029029ADESIL 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000022000000035069120ADESIVO COLOR SEED VERDE 20 LT                    LT    ATN180000000000000100
P21328439600019800000000000023000000031028000ADJUVANTE ULTRA FIX 01LT                          LT    ATN180000000000000100
P21328439600019800000000000024000000031028000ADJUVANTE ULTRA FIX 05LT                          LT    ATN180000000000000100
P21328439600019800000000000025000000031028000ADJUVANTE ULTRA FIX 200LT                         LT    ATN180000000000000100
P21328439600019800000000000026000000038089119ADJUVANTE VERSAL 05 LT                            LT    ATN180000000000000100
P21328439600019800000000000027000000031052000ADUBO 00.30.20 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000028000000031052000ADUBO 00.46.00 C/SUPER FOSFATO TRIPLO             SC    ATN180000000000000100
P21328439600019800000000000029000000031052000ADUBO 00.46.00 C/SUPER TRIPLO BB 1000KG           T     ATN180000000000000100
P21328439600019800000000000030000000031052000ADUBO 02.18.18 TESTE VINICIUS                     SC    ATN180000000000000100
P21328439600019800000000000031000000031052000ADUBO 02.18.18 BIG BAG 1000KG                     T     ATN180000000000000100
P21328439600019800000000000032000000031052000ADUBO 02.20.15                                    SC    ATN180000000000000100
P21328439600019800000000000033000000031052000ADUBO 02.20.18 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000034000000031052000ADUBO 02.20.18 SC 50 KG                           SC    ATN180000000000000100
P21328439600019800000000000035000000031052000ADUBO 02.20.18 YARA EVOLUTION BB 1000KG           T     ATN180000000000000100
P21328439600019800000000000036000000031052000ADUBO 02.20.20 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000037000000031052000ADUBO 02.20.20 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000038000000031052000ADUBO 02.20.20 CIBRA BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000039000000031052000ADUBO 02.23.23                                    SC    ATN180000000000000100
P21328439600019800000000000040000000031052000ADUBO 02.23.23 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000041000000031052000ADUBO 02.24.12                                    SC    ATN180000000000000100
P21328439600019800000000000042000000031052000ADUBO 03.21.21 NPK + MICRO - BB 1000KG            T     ATN180000000000000100
P21328439600019800000000000043000000031052000ADUBO 03.21.21 NPK + MICRO - SC 50KG              SC    ATN180000000000000100
P21328439600019800000000000044000000031052000ADUBO 04.20.20                                    SC    ATN180000000000000100
P21328439600019800000000000045000000031052000ADUBO 04.20.20 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000046000000031052000ADUBO 04.24.12                                    SC    ATN180000000000000100
P21328439600019800000000000047000000031052000ADUBO 04.30.10 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000048000000031052000ADUBO 05.20.10                                    SC    ATN180000000000000100
P21328439600019800000000000049000000031052000ADUBO 05.20.10 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000050000000031052000ADUBO 05.20.10 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000051000000031052000ADUBO 05.20.15                                    SC    ATN180000000000000100
P21328439600019800000000000052000000031052000ADUBO 05.25.12                                    SC    ATN180000000000000100
P21328439600019800000000000053000000031052000ADUBO 05.25.15                                    SC    ATN180000000000000100
P21328439600019800000000000054000000031052000ADUBO 05.26.10 + 9S - SC 50KG                     SC    ATN180000000000000100
P21328439600019800000000000055000000031052000ADUBO 05.29.07 NPK YARA - SC 50KG                 SC    ATN180000000000000100
P21328439600019800000000000056000000031052000ADUBO 05.29.07 NPK YARA BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000057000000031052000ADUBO 06.16.16                                    SC    ATN180000000000000100
P21328439600019800000000000058000000031052000ADUBO 06.16.16 BIG BAG 1000 KG                    T     ATN180000000000000100
P21328439600019800000000000059000000031052000ADUBO 06.24.12                                    SC    ATN180000000000000100
P21328439600019800000000000060000000031052000ADUBO 06.24.12 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000061000000031052000ADUBO 06.32.12 SUPER S - BB 1000KG                T     ATN180000000000000100
P21328439600019800000000000062000000031052000ADUBO 08.20.15 - BIG BAG                          T     ATN180000000000000100
P21328439600019800000000000063000000031052000ADUBO 08.20.15 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000064000000031052000ADUBO 08.20.20 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000065000000031052000ADUBO 08.20.20 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000066000000031052000ADUBO 08.20.20 YARA TURBO PROCOTE                 SC    ATN180000000000000100
P21328439600019800000000000067000000031052000ADUBO 09.16.11 50KG                               SC    ATN180000000000000100
P21328439600019800000000000068000000031052000ADUBO 09.20.15 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000069000000031052000ADUBO 09.21.13 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000070000000031052000ADUBO 09.21.13 ACTIVEALPHA SC 25 KG               SC    ATN180000000000000100
P21328439600019800000000000071000000031052000ADUBO 09.24.12 + 11S - SC 50KG                    SC    ATN180000000000000100
P21328439600019800000000000072000000031052000ADUBO 09.25.15 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000073000000031052000ADUBO 09.25.15 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000074000000031052000ADUBO 09.33.12 - SC 50KG                          SC    ATN180000000000000100
P21328439600019800000000000075000000031052000ADUBO 10.16.10 YARA BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000076000000031052000ADUBO 10.24.18                                    SC    ATN180000000000000100
P21328439600019800000000000077000000031052000ADUBO 10.25.15                                    SC    ATN180000000000000100
P21328439600019800000000000078000000031052000ADUBO 11.44-00 BB 1000KG                          T     ATN180000000000000100
P21328439600019800000000000079000000031052000ADUBO 12.32.18                                    SC    ATN180000000000000100
P21328439600019800000000000080000000031052000ADUBO 15.15.15 NPK - BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000081000000031042010ADUBO ASPIRE 00.00.58+0,5B BB 1000 KG             T     ATN180000000000000100
P21328439600019800000000000082000000031052000ADUBO BIOZAR  04.14.08 SC 50KG                    SC    ATN180000000000000100
P21328439600019800000000000083000000031052000ADUBO BIOZAR MULTI 260 05.15.15 SC 50KG           SC    ATN180000000000000100
P21328439600019800000000000084000000031052000ADUBO BRFERTIL NPK 02.20.18 1000KG                T     ATN180000000000000100
P21328439600019800000000000085000000031052000ADUBO BRFERTIL NPK 10.15-15 1000KG                T     ATN180000000000000100
P21328439600019800000000000086000000031052000ADUBO CHS 02.28.20 BB 1000KG                      T     ATN180000000000000100
P21328439600019800000000000087000000031052000ADUBO CIBRA 02.18.18                              SC    ATN180000000000000100
P21328439600019800000000000088000000031052000ADUBO CIBRA 02.20.15                              SC    ATN180000000000000100
P21328439600019800000000000089000000031052000ADUBO CIBRA 02.20.18                              SC    ATN180000000000000100
P21328439600019800000000000090000000031052000ADUBO CIBRA 02.20.18 BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000091000000031052000ADUBO CIBRA 02.20.20                              SC    ATN180000000000000100
P21328439600019800000000000092000000031052000ADUBO CIBRA 02.23.23                              SC    ATN180000000000000100
P21328439600019800000000000093000000031052000ADUBO CIBRA 04.14.08 50KG                         SC    ATN180000000000000100
P21328439600019800000000000094000000031052000ADUBO CIBRA 04.20.15                              SC    ATN180000000000000100
P21328439600019800000000000095000000031052000ADUBO CIBRA 04.20.15 BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000096000000031052000ADUBO CIBRA 04.30.10 BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000097000000031052000ADUBO CIBRA 05.20.15                              SC    ATN180000000000000100
P21328439600019800000000000098000000031052000ADUBO CIBRA 05.25.15                              SC    ATN180000000000000100
P21328439600019800000000000099000000031052000ADUBO CIBRA 05.25.15 BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000100000000031052000ADUBO CIBRA 06.16.16 50KG                         SC    ATN180000000000000100
P21328439600019800000000000101000000031052000ADUBO CIBRA 06.16.16 BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000102000000031042010ADUBO CIBRA 06.24.16 + 9S 50KG                    SC    ATN180000000000000100
P21328439600019800000000000103000000031052000ADUBO CIBRA 06.24.16 + 9S BB 1000KG               T     ATN180000000000000100
P21328439600019800000000000104000000031052000ADUBO CIBRA 08.16.16                              SC    ATN180000000000000100
P21328439600019800000000000105000000031052000ADUBO CIBRA 08.20.15                              SC    ATN180000000000000100
P21328439600019800000000000106000000031052000ADUBO CIBRA 08.20.15 BB 1000KG                    T     ATN180000000000000100
P21328439600019800000000000107000000031052000ADUBO CIBRA 08.20.20                              SC    ATN180000000000000100
P21328439600019800000000000108000000031052000ADUBO CIBRA 09.25.15                              SC    ATN180000000000000100
P21328439600019800000000000109000000031052000ADUBO CIBRA BASEFORT 12 10.40.00 - 50 KG          SC    ATN180000000000000100
P21328439600019800000000000110000000031052000ADUBO CIBRA BASEFORT 12 10.40.00 BB 1000KG        T     ATN180000000000000100
P21328439600019800000000000111000000031052000ADUBO CIBRA BASEFORT 12.46.00 BB 1000KG           T     ATN180000000000000100
P21328439600019800000000000112000000031052000ADUBO FERTIPAR 02.18.18 MICRO TOTAL SC 50KG       SC    ATN180000000000000100
P21328439600019800000000000113000000031052000ADUBO FERTIPAR 02.20.18 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000114000000031052000ADUBO FERTIPAR 08.15.15 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000115000000031052000ADUBO FERTIPAR 08.20.15 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000116000000031052000ADUBO FERTIPAR 08.20.20 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000117000000031052000ADUBO MAP 11.52.00 - SC 50KG                      SC    ATN180000000000000100
P21328439600019800000000000118000000031052000ADUBO MAP 11.52.00 BB 1000KG                      T     ATN180000000000000100
P21328439600019800000000000119000000031052000ADUBO MAP GRANULADO 12.52.00 BB 1000KG            T     ATN180000000000000100
P21328439600019800000000000120000000031052000ADUBO MAP GRANULADO 12.52.00 SC 50KG              SC    ATN180000000000000100
P21328439600019800000000000121000000031052000ADUBO MINERAL COMPLEXO YARAMILA SELETO 05.26.05   SC    ATN180000000000000100
P21328439600019800000000000122000000031052000ADUBO MINERAL COMPLEXO YARAMILA SELETO 05.26.05 B.T     ATN180000000000000100
P21328439600019800000000000123000000031052000ADUBO MINORGAN 02.10.10                           SC    ATN180000000000000100
P21328439600019800000000000124000000031052000ADUBO MINORGAN 02.10.10 - BB 1000KG               SC    ATN180000000000000100
P21328439600019800000000000125000000031052000ADUBO MINORGAN 05.10.10                           SC    ATN180000000000000100
P21328439600019800000000000126000000031052000ADUBO MINORGAN ORGANOFOS MASTER 02.10.02 50 KG    SC    ATN180000000000000100
P21328439600019800000000000127000000031052000ADUBO MINORGAN PLUS 02.07.07                      SC    ATN180000000000000100
P21328439600019800000000000128000000031052000ADUBO MINORGAN PLUS 02.07.07 BIG BAG              T     ATN180000000000000100
P21328439600019800000000000129000000031052000ADUBO MINORGAN PLUS 05.08.08                      SC    ATN180000000000000100
P21328439600019800000000000130000000031052000ADUBO MINORGAN PLUS 05.08.08  BB 1000 KG          T     ATN180000000000000100
P21328439600019800000000000131000000031052000ADUBO MOSAIC 02.18.18                             SC    ATN180000000000000100
P21328439600019800000000000132000000031052000ADUBO MOSAIC 02.18.18 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000133000000031052000ADUBO MOSAIC 02.20.10                             SC    ATN180000000000000100
P21328439600019800000000000134000000031052000ADUBO MOSAIC 02.20.15                             SC    ATN180000000000000100
P21328439600019800000000000135000000031052000ADUBO MOSAIC 02.20.18                             SC    ATN180000000000000100
P21328439600019800000000000136000000031052000ADUBO MOSAIC 02.20.20                             SC    ATN180000000000000100
P21328439600019800000000000137000000031052000ADUBO MOSAIC 02.23.23                             SC    ATN180000000000000100
P21328439600019800000000000138000000031052000ADUBO MOSAIC 02.24.12 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000139000000031052000ADUBO MOSAIC 04.20.15                             SC    ATN180000000000000100
P21328439600019800000000000140000000031052000ADUBO MOSAIC 04.20.15 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000141000000031052000ADUBO MOSAIC 04.24.12                             SC    ATN180000000000000100
P21328439600019800000000000142000000031052000ADUBO MOSAIC 04.30.10                             SC    ATN180000000000000100
P21328439600019800000000000143000000031052000ADUBO MOSAIC 05.20.12 MICROESSENTIALS 50KG        SC    ATN180000000000000100
P21328439600019800000000000144000000031052000ADUBO MOSAIC 05.20.12 MICROESSENTIALS BB 1000KG   T     ATN180000000000000100
P21328439600019800000000000145000000031052000ADUBO MOSAIC 05.25.15                             SC    ATN180000000000000100
P21328439600019800000000000146000000031052000ADUBO MOSAIC 05.25.15 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000147000000031052000ADUBO MOSAIC 05.33.06 MICROESSENTIALS BB 1000KG   T     ATN180000000000000100
P21328439600019800000000000148000000031052000ADUBO MOSAIC 05.33.06 MICROESSENTIALS SC 50KG     SC    ATN180000000000000100
P21328439600019800000000000149000000031052000ADUBO MOSAIC 06.16.16 SC 50KG                     SC    ATN180000000000000100
P21328439600019800000000000150000000031052000ADUBO MOSAIC 08.20.15 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000151000000031052000ADUBO MOSAIC 08.20.15 SC 50KG                     SC    ATN180000000000000100
P21328439600019800000000000152000000031052000ADUBO MOSAIC 10.15.15                             SC    ATN180000000000000100
P21328439600019800000000000153000000031052000ADUBO MOSAIC 10.15.15 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000154000000031052000ADUBO MOSAIC 10.25.15                             SC    ATN180000000000000100
P21328439600019800000000000155000000031052000ADUBO MOSAIC 10.25.15 BB 1000KG                   T     ATN180000000000000100
P21328439600019800000000000156000000031052000ADUBO MOSAIC 12.31.17                             SC    ATN180000000000000100
P21328439600019800000000000157000000031052000ADUBO MOSAIC 12.31.17  BB 1000KG                  T     ATN180000000000000100
P21328439600019800000000000158000000031052000ADUBO NPK 01.20.20  + 5S - BB 1000KG              T     ATN180000000000000100
P21328439600019800000000000159000000031052000ADUBO SUPERBAC 02.10.05 BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000160000000031052000ADUBO SUPERBAC 02.10.05 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000161000000031052000ADUBO SUPERBAC 02.10.10 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000162000000031052000ADUBO SUPERGAN 01.06.06                           SC    ATN180000000000000100
P21328439600019800000000000163000000031052000ADUBO SUPERGAN 02.07.09                           SC    ATN180000000000000100
P21328439600019800000000000164000000031052000ADUBO SUPERGAN 02.07.09 BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000165000000031052000ADUBO SUPERGAN 02.10.10- BB 1000 KG               T     ATN180000000000000000
P21328439600019800000000000166000000031052000ADUBO SUPERGAN 02.12.12                           SC    ATN180000000000000100
P21328439600019800000000000167000000031052000ADUBO SUPERGAN 02.12.12 BB 1000 KG                T     ATN180000000000000000
P21328439600019800000000000168000000031052000ADUBO SUPERGAN 05.08.08                           SC    ATN180000000000000100
P21328439600019800000000000169000000031052000ADUBO SUPERGAN 05.08.08- BB  1000 KG              T     ATN180000000000000000
P21328439600019800000000000170000000031052000ADUBO SUPERGAN 05.10.10 - BB 1000KG               T     ATN180000000000000100
P21328439600019800000000000171000000031052000ADUBO SUPERGAN 05.16.10                           SC    ATN180000000000000100
P21328439600019800000000000172000000031052000ADUBO SUPERGAN 05.16.10 BB 1000 KG                T     ATN180000000000000000
P21328439600019800000000000173000000031052000ADUBO SUPERGAN 06.22.01- BB 1000 KG               T     ATN180000000000000100
P21328439600019800000000000174000000031052000ADUBO SUPERGAN 07.07.07 BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000175000000031052000ADUBO SUPERGAN 07.07.07 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000176000000031052000ADUBO SUPERGAN 10.08.08 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000177000000031052000ADUBO SUPERGAN 10.10.10 BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000178000000031052000ADUBO SUPERGAN 10.10.10 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000179000000031052000ADUBO SUPERGAN PLUS 02.10.10- 1000KG              T     ATN180000000000000100
P21328439600019800000000000180000000031052000ADUBO SUPERGAN PLUS 02.10.10- 50KG                SC    ATN180000000000000100
P21328439600019800000000000181000000031052000ADUBO SUPERGAN PREMIUM 05.13.13- 1000KG           T     ATN180000000000000100
P21328439600019800000000000182000000031052000ADUBO SUPERGAN PREMIUM 05.13.13- 50KG             SC    ATN180000000000000100
P21328439600019800000000000183000000031052000ADUBO SUPERGAN SC 07.10.10                        SC    ATN180000000000000100
P21328439600019800000000000184000000031052000ADUBO SUPERGAN SOJA PREMIUM 02.12.12- 50KG        UN    ATT180000000000000100
P21328439600019800000000000185000000031052000ADUBO SUPERGAN SOJA PREMIUM 920 (02-15-12) + 4% CAT     ATN180000000000000100
P21328439600019800000000000186000000031052000ADUBO SUPERGAN SOJA TURBO 02.10.10 - BB 1000KG    T     ATN180000000000000100
P21328439600019800000000000187000000031052000ADUBO SUPERGAN SOJA TURBO 02.10.10 SC 50KG        SC    ATN180000000000000100
P21328439600019800000000000188000000031052000ADUBO TOP MIX 04.24.12 BB 1000KG                  T     ATN180000000000000100
P21328439600019800000000000189000000031052000ADUBO TOP MIX EVOLUTION 02.23.23                  SC    ATN180000000000000100
P21328439600019800000000000190000000031052000ADUBO TOPMIX 06.30.06 - BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000191000000031052000ADUBO TOPMIX EVOLUTION 07.40.00 BB 1000KG         T     ATN180000000000000100
P21328439600019800000000000192000000031052000ADUBO UNIFERTIL 08.20.20 BB 1000KG                T     ATN180000000000000100
P21328439600019800000000000193000000031052000ADUBO YARA 00.17.00 C/SUPER SIMPLES BB 1000KG     T     ATN180000000000000100
P21328439600019800000000000194000000031052000ADUBO YARA 02.18.18 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000195000000031052000ADUBO YARA 02.18.18 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000196000000031052000ADUBO YARA 02.20.00                               SC    ATN180000000000000100
P21328439600019800000000000197000000031052000ADUBO YARA 02.20.10 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000198000000031052000ADUBO YARA 02.20.15                               SC    ATN180000000000000100
P21328439600019800000000000199000000031052000ADUBO YARA 02.20.15 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000200000000031052000ADUBO YARA 02.20.18 - SC 50KG                     SC    ATN180000000000000100
P21328439600019800000000000201000000031052000ADUBO YARA 02.20.18 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000202000000031052000ADUBO YARA 02.20.20                               SC    ATN180000000000000100
P21328439600019800000000000203000000031052000ADUBO YARA 02.22.22 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000204000000031052000ADUBO YARA 02.23.23                               SC    ATN180000000000000100
P21328439600019800000000000205000000031052000ADUBO YARA 02.23.23 BB 1000KG                     SC    ATN180000000000000100
P21328439600019800000000000206000000031052000ADUBO YARA 02.23.23 TOPMIX BB 1000 KG             T     ATN180000000000000100
P21328439600019800000000000207000000031052000ADUBO YARA 02.23.23 TOPMIX SC 50 KG               SC    ATN180000000000000100
P21328439600019800000000000208000000031052000ADUBO YARA 02.23.23 TURBO BB 1000KG               T     ATN180000000000000100
P21328439600019800000000000209000000031052000ADUBO YARA 02.23.23 TURBO SC                      SC    ATN180000000000000100
P21328439600019800000000000210000000031052000ADUBO YARA 02.24.12 EVOLUTION  BB 1000KG          T     ATN180000000000000100
P21328439600019800000000000211000000031052000ADUBO YARA 02.28.20                               SC    ATN180000000000000100
P21328439600019800000000000212000000031052000ADUBO YARA 02.28.20 TOP MIX                       SC    ATN180000000000000100
P21328439600019800000000000213000000031052000ADUBO YARA 02.28.20 TOPMIX EVOLUTION BB 1000KG    T     ATN180000000000000100
P21328439600019800000000000214000000031052000ADUBO YARA 02.28.20 TOPMIX EVOLUTION SC 50 KG     SC    ATN180000000000000100
P21328439600019800000000000215000000031052000ADUBO YARA 02.30.10 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000216000000031052000ADUBO YARA 04.14.08 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000217000000031052000ADUBO YARA 04.20.20                               SC    ATN180000000000000100
P21328439600019800000000000218000000031052000ADUBO YARA 04.20.20 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000219000000031052000ADUBO YARA 04.24.12                               SC    ATN180000000000000100
P21328439600019800000000000220000000031052000ADUBO YARA 04.24.12 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000221000000031052000ADUBO YARA 04.30.10                               SC    ATN180000000000000100
P21328439600019800000000000222000000031052000ADUBO YARA 04.30.10  TOP MIX BB 1000KG            T     ATN180000000000000100
P21328439600019800000000000223000000031052000ADUBO YARA 04.30.10 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000224000000031052000ADUBO YARA 04.30.10 TOP MIX SC                    SC    ATN180000000000000100
P21328439600019800000000000225000000031052000ADUBO YARA 05.25.15 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000226000000031052000ADUBO YARA 05.25.15 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000227000000031052000ADUBO YARA 05.25.25 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000228000000031052000ADUBO YARA 06.16.16 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000229000000031052000ADUBO YARA 06.16.16 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000230000000031052000ADUBO YARA 06.27.06                               SC    ATN180000000000000100
P21328439600019800000000000231000000031052000ADUBO YARA 06.30.15 EVOLUTION 50KG                SC    ATN180000000000000100
P21328439600019800000000000232000000031052000ADUBO YARA 06.30.15 EVOLUTION BB 1000KG           T     ATN180000000000000100
P21328439600019800000000000233000000031052000ADUBO YARA 07.28.14 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000234000000031051000ADUBO YARA 08.16.16                               SC    ATN180000000000000100
P21328439600019800000000000235000000031052000ADUBO YARA 08.16.16 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000236000000031052000ADUBO YARA 08.20.10                               SC    ATN180000000000000100
P21328439600019800000000000237000000031052000ADUBO YARA 08.20.10 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000238000000031052000ADUBO YARA 08.20.15 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000239000000031052000ADUBO YARA 08.20.15 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000240000000031052000ADUBO YARA 08.20.20                               SC    ATN180000000000000100
P21328439600019800000000000241000000031052000ADUBO YARA 08.20.20 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000242000000031052000ADUBO YARA 08.30.20                               SC    ATN180000000000000100
P21328439600019800000000000243000000031052000ADUBO YARA 09.25.15 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000244000000031052000ADUBO YARA 09.25.15 TOP MIX BB 1000KG             T     ATN180000000000000100
P21328439600019800000000000245000000031052000ADUBO YARA 09.33.12                               SC    ATN180000000000000100
P21328439600019800000000000246000000031052000ADUBO YARA 10.15.15 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000247000000031052000ADUBO YARA 10.15.15 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000248000000031052000ADUBO YARA 10.16.10 SC 50KG                       SC    ATN180000000000000100
P21328439600019800000000000249000000031052000ADUBO YARA 10.20.10 BB 1000 KG                    T     ATN180000000000000100
P21328439600019800000000000250000000031052000ADUBO YARA 12.24.16                               SC    ATN180000000000000100
P21328439600019800000000000251000000031052000ADUBO YARA 12.24.16 BB 1000 KG                    T     ATN180000000000000100
P21328439600019800000000000252000000031052000ADUBO YARA 12.31.16 50KG                          SC    ATN180000000000000100
P21328439600019800000000000253000000031052000ADUBO YARA 12.31.16 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000254000000031052000ADUBO YARA 12.31.17                               SC    ATN180000000000000100
P21328439600019800000000000255000000031052000ADUBO YARA 12.31.17 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000256000000031052000ADUBO YARA 12.32.18                               SC    ATN180000000000000100
P21328439600019800000000000257000000031052000ADUBO YARA 12.32.18 BB 1000KG                     T     ATN180000000000000100
P21328439600019800000000000258000000031052000ADUBO YARA TURBO 02.24.12 SC                      SC    ATN180000000000000100
P21328439600019800000000000259000000031052000ADUBO YARA TURBO 09.25.15                         SC    ATN180000000000000100
